date,code,stock_name,industry,evidence_name,evidence_value,evidence_direction,source,source_type,confidence,note
2026-09-25,000096,广聚能源,F51批发业,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000415,渤海租赁,租赁,explicit research industry mapping,REVIEWED,NEUTRAL,config/research_security_profiles.json,reviewed_research_mapping,HIGH,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000526,学大教育,P83教育,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000557,西部创业,G53铁路运输业,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000567,海德股份,J69其他金融业,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000576,甘化科工,C39计算机、通信和其他电子设备制造业,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000596,古井贡酒,C15酒、饮料和精制茶制造业,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000682,东方电子,I65软件和信息技术服务业,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000703,恒逸石化,C28化学纤维制造业,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000768,中航西飞,C37铁路、船舶、航空航天和其他运输设备制造业,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000783,长江证券,J67资本市场服务,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
2026-09-25,000833,粤桂股份,S91综合,explicit research industry mapping,EXPLICIT_PRODUCTION_SCAN_METADATA,NEUTRAL,github-actions:genge-opportunity-discovery:36019879566,production_scan_industry_metadata,MEDIUM,Research mapping only; cannot create Formal actions or infer commodity/peer mappings.
